volume,vwap,open,close,high,low,timestamp,transactions
771240.0,499.1009,499.18,499.25,499.32,498.91,2024-04-25 06:30:00,7480
506574.0,499.1416,499.24,499.18,499.33,499.02,2024-04-25 06:31:00,4981
521569.0,498.8671,499.18,498.8,499.2,498.69,2024-04-25 06:32:00,4946
592615.0,498.7344,498.79,498.71,498.85,498.625,2024-04-25 06:33:00,5705
337882.0,498.6442,498.7,498.47,498.8,498.44,2024-04-25 06:34:00,3236
432021.0,498.6881,498.46,499.03,499.0499,498.35,2024-04-25 06:35:00,4242
348502.0,498.6456,499.0435,498.43,499.0435,498.34,2024-04-25 06:36:00,3681
352735.0,498.6185,498.43,498.58,498.88,498.34,2024-04-25 06:37:00,3795
301614.0,498.5778,498.56,498.53,498.6699,498.42,2024-04-25 06:38:00,2747
222689.0,498.549,498.54,498.56,498.7337,498.35,2024-04-25 06:39:00,2248
289007.0,498.4764,498.56,498.56,498.58,498.41,2024-04-25 06:40:00,2850
271612.0,498.4781,498.5799,498.51,498.65,498.36,2024-04-25 06:41:00,2577
275057.0,498.8381,498.51,499.07,499.13,498.5,2024-04-25 06:42:00,2856
367297.0,499.1846,499.07,499.2399,499.3401,498.8899,2024-04-25 06:43:00,3447
241569.0,499.1562,499.23,499.15,499.3,498.98,2024-04-25 06:44:00,2378
177675.0,499.1162,499.14,499.28,499.31,498.99,2024-04-25 06:45:00,2238
191046.0,499.176,499.27,499.16,499.355,499.04,2024-04-25 06:46:00,2086
126597.0,499.0155,499.17,499.01,499.18,498.89,2024-04-25 06:47:00,1756
199586.0,498.8128,499.01,498.59,499.08,498.54,2024-04-25 06:48:00,2146
190967.0,498.6416,498.61,498.61,498.74,498.55,2024-04-25 06:49:00,1870
164244.0,498.6983,498.59,498.83,498.9,498.52,2024-04-25 06:50:00,1740
182197.0,498.6088,498.83,498.4699,498.83,498.4279,2024-04-25 06:51:00,1968
216257.0,498.2714,498.45,498.22,498.49,498.16,2024-04-25 06:52:00,2410
174920.0,498.2739,498.22,498.37,498.39,498.16,2024-04-25 06:53:00,1825
163822.0,498.2385,498.37,498.2903,498.37,498.13,2024-04-25 06:54:00,1718
250878.0,498.1226,498.28,498.08,498.35,497.95,2024-04-25 06:55:00,2844
179571.0,498.0547,498.06,498.09,498.2,497.96,2024-04-25 06:56:00,2037
162433.0,498.046,498.07,498.18,498.235,497.865,2024-04-25 06:57:00,1819
172021.0,498.3164,498.17,498.42,498.55,498.13,2024-04-25 06:58:00,1753
209958.0,498.2788,498.45,498.2,498.49,498.03,2024-04-25 06:59:00,2054
252978.0,498.0613,498.2,497.93,498.27,497.89,2024-04-25 07:00:00,2547
248732.0,497.8039,497.91,497.7,498.01,497.66,2024-04-25 07:01:00,2554
159004.0,497.7817,497.7,497.705,497.99,497.595,2024-04-25 07:02:00,1926
124490.0,497.5946,497.73,497.67,497.73,497.49,2024-04-25 07:03:00,1790
176890.0,497.8275,497.65,497.92,497.99,497.6,2024-04-25 07:04:00,2052
263899.0,498.1856,497.9,498.14,498.36,497.885,2024-04-25 07:05:00,2918
168938.0,498.1781,498.13,498.26,498.42,498.01,2024-04-25 07:06:00,1800
210476.0,498.2203,498.25,498.36,498.36,498.09,2024-04-25 07:07:00,2099
217657.0,498.3286,498.34,498.2,498.52,498.15,2024-04-25 07:08:00,2367
161812.0,498.2605,498.19,498.26,498.39,498.12,2024-04-25 07:09:00,1981
146359.0,498.3253,498.27,498.49,498.49,498.1801,2024-04-25 07:10:00,3207
325900.0,498.7045,498.4876,498.6902,498.87,498.48,2024-04-25 07:11:00,4534
163703.0,498.7305,498.7,498.82,498.84,498.635,2024-04-25 07:12:00,3264
199061.0,498.9644,498.82,498.955,499.05,498.82,2024-04-25 07:13:00,3681
150690.0,498.9646,498.97,499.0,499.06,498.85,2024-04-25 07:14:00,3057
293836.0,498.9816,498.99,498.91,499.07,498.9,2024-04-25 07:15:00,3729
185516.0,498.9446,498.89,498.975,499.07,498.84,2024-04-25 07:16:00,3277
178726.0,499.033,498.98,499.04,499.13,498.93,2024-04-25 07:17:00,3045
356110.0,499.3584,499.05,499.48,499.65,499.04,2024-04-25 07:18:00,4586
203452.0,499.3705,499.4524,499.34,499.47,499.25,2024-04-25 07:19:00,3353
171068.0,499.356,499.34,499.2001,499.54,499.19,2024-04-25 07:20:00,3105
115847.0,499.358,499.2,499.355,499.54,499.2,2024-04-25 07:21:00,2770
179088.0,499.4209,499.36,499.525,499.58,499.32,2024-04-25 07:22:00,3111
203906.0,499.483,499.51,499.46,499.5701,499.34,2024-04-25 07:23:00,2851
162542.0,499.5101,499.46,499.54,499.67,499.42,2024-04-25 07:24:00,1803
153427.0,499.5265,499.52,499.53,499.62,499.4,2024-04-25 07:25:00,1623
238194.0,499.4865,499.53,499.41,499.6,499.39,2024-04-25 07:26:00,2478
108688.0,499.5134,499.42,499.5,499.6,499.41,2024-04-25 07:27:00,1405
282820.0,499.6626,499.49,499.53,499.76,499.47,2024-04-25 07:28:00,2585
130172.0,499.5692,499.555,499.6,499.65,499.465,2024-04-25 07:29:00,1511
168641.0,499.516,499.61,499.61,499.6899,499.42,2024-04-25 07:30:00,1708
191052.0,499.6956,499.625,499.695,499.76,499.6,2024-04-25 07:31:00,1808
423320.0,503.2369,499.71,499.51,499.82,499.49,2024-04-25 07:32:00,1839
239602.0,499.3466,499.5,499.18,499.5185,499.13,2024-04-25 07:33:00,2358
238353.0,499.037,499.19,498.93,499.25,498.841,2024-04-25 07:34:00,2389
243954.0,499.0616,498.94,499.09,499.17,498.93,2024-04-25 07:35:00,2296
185277.0,499.0797,499.09,499.055,499.236,498.98,2024-04-25 07:36:00,1387
124210.0,498.9864,499.06,498.965,499.1,498.9175,2024-04-25 07:37:00,1336
154882.0,499.1001,498.96,499.18,499.19,498.95,2024-04-25 07:38:00,1612
160231.0,499.2305,499.17,499.11,499.33,499.09,2024-04-25 07:39:00,1654
157678.0,498.9939,499.1,498.885,499.16,498.85,2024-04-25 07:40:00,1680
168134.0,498.7374,498.89,498.57,498.94,498.57,2024-04-25 07:41:00,1673
116572.0,498.5016,498.58,498.5,498.59,498.4,2024-04-25 07:42:00,1384
142250.0,498.7615,498.5,498.87,498.99,498.495,2024-04-25 07:43:00,1653
78705.0,498.9753,498.8701,498.97,499.07,498.84,2024-04-25 07:44:00,977
80814.0,498.9508,498.96,498.89,499.11,498.84,2024-04-25 07:45:00,912
74270.0,498.8293,498.9,498.65,498.98,498.61,2024-04-25 07:46:00,1042
92712.0,498.7816,498.65,498.81,498.91,498.65,2024-04-25 07:47:00,949
72941.0,498.7069,498.8115,498.705,498.85,498.6118,2024-04-25 07:48:00,897
68580.0,498.6256,498.71,498.54,498.71,498.5003,2024-04-25 07:49:00,898
106012.0,498.7184,498.59,498.72,498.81,498.59,2024-04-25 07:50:00,1080
45957.0,498.6477,498.735,498.69,498.79,498.53,2024-04-25 07:51:00,738
99628.0,498.4425,498.69,498.21,498.7201,498.2,2024-04-25 07:52:00,1180
108524.0,498.2747,498.22,498.3,498.37,498.15,2024-04-25 07:53:00,1214
69104.0,498.276,498.305,498.29,498.35,498.18,2024-04-25 07:54:00,878
72517.0,498.2775,498.28,498.3228,498.4,498.18,2024-04-25 07:55:00,883
68207.0,498.2764,498.32,498.22,498.36,498.22,2024-04-25 07:56:00,773
48623.0,498.2562,498.23,498.27,498.35,498.18,2024-04-25 07:57:00,787
88744.0,498.3746,498.29,498.44,498.4599,498.285,2024-04-25 07:58:00,1191
100750.0,498.4416,498.43,498.41,498.5786,498.3004,2024-04-25 07:59:00,1074
145127.0,498.6309,498.4,498.77,498.84,498.36,2024-04-25 08:00:00,1662
246466.0,498.8553,498.77,498.87,498.99,498.71,2024-04-25 08:01:00,2202
167331.0,498.8773,498.89,498.91,499.02,498.76,2024-04-25 08:02:00,1831
178290.0,499.076,498.9,498.93,499.14,498.895,2024-04-25 08:03:00,1430
99585.0,499.0516,498.92,498.955,499.17,498.9,2024-04-25 08:04:00,1166
