volume,vwap,open,close,high,low,timestamp,transactions
392233,575.3484,575.3,575.52,575.64,575.26,2025-03-25 06:30:00,5196
145392,575.4972,575.54,575.37,575.64,575.31,2025-03-25 06:31:00,1883
107855,575.4497,575.39,575.435,575.655,575.33,2025-03-25 06:32:00,1581
145369,575.3727,575.44,575.3101,575.48,575.29,2025-03-25 06:33:00,1874
158670,575.3357,575.32,575.17,575.43,575.17,2025-03-25 06:34:00,1841
213966,574.9845,575.16,574.76,575.18,574.76,2025-03-25 06:35:00,2764
147641,574.6877,574.75,574.7192,574.8,574.53,2025-03-25 06:36:00,1709
136282,574.7988,574.7201,574.75,574.93,574.64,2025-03-25 06:37:00,1495
91546,574.8156,574.78,574.79,574.92,574.74,2025-03-25 06:38:00,1273
122226,574.9377,574.81,574.92,575.0764,574.7837,2025-03-25 06:39:00,1507
111190,575.037,574.92,575.0,575.16,574.895,2025-03-25 06:40:00,1420
59736,575.0321,574.98,575.15,575.16,574.895,2025-03-25 06:41:00,1052
92126,575.1633,575.18,575.16,575.215,575.05,2025-03-25 06:42:00,1303
256513,574.6496,575.14,574.47,575.14,574.31,2025-03-25 06:43:00,3047
112676,574.6612,574.46,574.78,574.8,574.36,2025-03-25 06:44:00,1254
130988,574.7368,574.8,574.8101,574.8675,574.6,2025-03-25 06:45:00,1229
71782,574.7702,574.78,574.87,574.87,574.64,2025-03-25 06:46:00,1058
76244,574.8299,574.87,574.71,574.92,574.68,2025-03-25 06:47:00,1007
106976,574.5293,574.69,574.32,574.77,574.27,2025-03-25 06:48:00,1481
69338,574.3514,574.35,574.27,574.43,574.27,2025-03-25 06:49:00,914
108302,574.2111,574.27,574.28,574.3,574.08,2025-03-25 06:50:00,1414
135733,574.2068,574.2176,574.1899,574.36,574.02,2025-03-25 06:51:00,1620
159996,574.6455,574.18,574.41,574.47,574.13,2025-03-25 06:52:00,1220
98747,574.4835,574.4,574.63,574.66,574.27,2025-03-25 06:53:00,1446
97707,574.7679,574.64,574.77,574.8862,574.62,2025-03-25 06:54:00,1312
248301,574.666,574.75,574.93,574.96,574.7301,2025-03-25 06:55:00,1112
99369,574.9777,574.93,574.8497,575.11,574.82,2025-03-25 06:56:00,1499
54814,574.9031,574.855,574.89,574.98,574.84,2025-03-25 06:57:00,873
63342,574.9298,574.87,574.83,575.0299,574.83,2025-03-25 06:58:00,1024
103988,574.7036,574.83,574.66,574.84,574.57,2025-03-25 06:59:00,1440
231642,574.5107,574.7,574.47,575.02,574.2,2025-03-25 07:00:00,2815
113356,574.1993,574.45,574.22,574.47,574.02,2025-03-25 07:01:00,1513
135844,574.1637,574.22,574.11,574.4,573.94,2025-03-25 07:02:00,1784
68756,574.0994,574.1,574.12,574.2175,573.96,2025-03-25 07:03:00,1081
66621,574.2577,574.14,574.265,574.42,574.03,2025-03-25 07:04:00,3402
113875,574.3179,574.2801,574.51,574.56,574.27,2025-03-25 07:05:00,2815
53934,574.5558,574.51,574.54,574.65,574.31,2025-03-25 07:06:00,1213
81221,574.7267,574.5701,574.81,574.87,574.5,2025-03-25 07:07:00,1201
72158,574.8079,574.82,574.8,574.9399,574.6705,2025-03-25 07:08:00,1236
76112,574.756,574.77,574.81,574.87,574.62,2025-03-25 07:09:00,1282
92706,574.991,574.72,575.092,575.2,574.7,2025-03-25 07:10:00,1386
70887,575.1069,575.11,574.84,575.27,574.82,2025-03-25 07:11:00,1290
61869,574.902,574.84,575.0701,575.1069,574.67,2025-03-25 07:12:00,1225
65183,575.1384,575.07,575.2062,575.21,575.02,2025-03-25 07:13:00,1160
140104,575.1605,575.19,574.97,575.35,574.94,2025-03-25 07:14:00,2066
134928,575.0608,574.91,575.2149,575.25,574.85,2025-03-25 07:15:00,1890
121960,575.3075,575.2203,575.32,575.42,575.22,2025-03-25 07:16:00,1712
165210,575.1964,575.34,575.13,575.35,575.09,2025-03-25 07:17:00,1784
98997,575.0596,575.13,575.08,575.17,575.03,2025-03-25 07:18:00,1596
50249,575.1665,575.07,575.065,575.25,575.03,2025-03-25 07:19:00,1126
90879,575.0895,575.1101,575.31,575.31,574.96,2025-03-25 07:20:00,1651
235060,575.2604,575.28,575.5069,575.5069,575.16,2025-03-25 07:21:00,1372
99565,575.437,575.51,575.43,575.51,575.34,2025-03-25 07:22:00,1328
77318,575.4701,575.43,575.41,575.56,575.39,2025-03-25 07:23:00,1296
