volume,vwap,open,close,high,low,timestamp,transactions
1621445.0,545.546,545.11,546.7075,546.77,544.89,2025-04-03 06:30:00,16033
907041.0,546.4301,546.72,546.65,546.76,545.96,2025-04-03 06:31:00,8166
761289.0,546.5704,546.64,547.02,547.09,546.02,2025-04-03 06:32:00,8360
780154.0,547.4949,547.04,547.71,547.97,546.97,2025-04-03 06:33:00,8422
553119.0,547.5246,547.75,547.51,547.8899,547.17,2025-04-03 06:34:00,6389
737192.0,547.0161,547.52,547.13,547.59,546.68,2025-04-03 06:35:00,7992
485160.0,546.7617,547.16,546.94,547.18,546.33,2025-04-03 06:36:00,5738
418675.0,546.7375,546.935,547.0,547.22,546.23,2025-04-03 06:37:00,5894
441247.0,547.0325,546.99,547.31,547.46,546.755,2025-04-03 06:38:00,5235
517889.0,547.5233,547.31,547.71,547.8557,547.2051,2025-04-03 06:39:00,6431
446813.0,547.0472,547.71,546.6041,547.7325,546.55,2025-04-03 06:40:00,5820
341353.0,546.7144,546.61,546.82,547.2131,546.27,2025-04-03 06:41:00,4228
445489.0,546.2844,546.82,546.84,546.87,545.78,2025-04-03 06:42:00,5156
306350.0,546.3958,546.78,545.99,546.97,545.9,2025-04-03 06:43:00,4001
358671.0,546.3734,546.0099,546.32,546.74,545.86,2025-04-03 06:44:00,3339
637301.0,549.7026,546.32,545.6499,546.33,545.6,2025-04-03 06:45:00,5553
291527.0,545.9867,545.61,545.94,546.37,545.45,2025-04-03 06:46:00,3944
277473.0,545.4892,545.95,545.18,546.06,545.12,2025-04-03 06:47:00,4271
369832.0,545.3151,545.19,545.85,545.88,544.97,2025-04-03 06:48:00,5769
226968.0,545.3505,545.85,545.27,545.85,545.09,2025-04-03 06:49:00,3706
486184.0,546.2153,545.26,546.49,546.68,545.21,2025-04-03 06:50:00,5830
304131.0,546.3808,546.4375,546.4925,546.9,545.9,2025-04-03 06:51:00,4344
264480.0,546.7376,546.51,546.5962,547.16,546.24,2025-04-03 06:52:00,3872
348441.0,553.0715,546.58,545.79,546.67,545.78,2025-04-03 06:53:00,3684
286200.0,545.6153,545.79,545.52,545.91,545.28,2025-04-03 06:54:00,4524
539250.0,554.7453,545.54,545.1701,546.0647,545.15,2025-04-03 06:55:00,4459
523187.0,545.0038,545.1403,544.6701,545.27,544.45,2025-04-03 06:56:00,5960
386431.0,551.2246,544.65,544.475,544.8,544.22,2025-04-03 06:57:00,4102
252705.0,544.5866,544.45,545.04,545.07,544.18,2025-04-03 06:58:00,3355
355721.0,545.26,545.05,544.92,545.79,544.79,2025-04-03 06:59:00,4718
648128.0,544.3727,544.86,544.61,545.22,543.9,2025-04-03 07:00:00,8215
203319.0,544.5807,544.62,544.585,545.1,544.18,2025-04-03 07:01:00,3239
243621.0,544.4007,544.59,544.36,544.95,544.1088,2025-04-03 07:02:00,3474
294162.0,543.8184,544.39,543.42,544.39,543.3799,2025-04-03 07:03:00,4725
323468.0,543.2896,543.39,543.23,543.57,543.02,2025-04-03 07:04:00,4616
305768.0,543.4044,543.25,543.68,543.79,543.0,2025-04-03 07:05:00,3978
534438.0,543.7357,543.68,543.27,544.01,543.27,2025-04-03 07:06:00,5681
411891.0,543.1985,543.27,543.61,543.64,542.78,2025-04-03 07:07:00,5838
275161.0,543.4533,543.63,543.09,543.99,543.07,2025-04-03 07:08:00,3518
321523.0,542.981,543.11,542.98,543.25,542.8,2025-04-03 07:09:00,4579
205259.0,542.913,542.97,542.67,543.1424,542.63,2025-04-03 07:10:00,3101
302607.0,542.5708,542.64,542.65,542.79,542.39,2025-04-03 07:11:00,3907
282248.0,542.5142,542.64,542.43,542.95,542.29,2025-04-03 07:12:00,2793
363083.0,542.1854,542.41,542.33,542.6,542.0,2025-04-03 07:13:00,4998
243835.0,542.5085,542.32,542.6899,542.69,542.32,2025-04-03 07:14:00,2840
436428.0,543.0534,542.68,543.12,543.35,542.65,2025-04-03 07:15:00,4673
294878.0,543.109,543.1,543.229,543.39,542.76,2025-04-03 07:16:00,3766
459826.0,549.2137,543.23,543.075,543.46,543.0,2025-04-03 07:17:00,3848
418946.0,549.4451,543.075,542.41,543.12,542.41,2025-04-03 07:18:00,4047
263764.0,542.429,542.43,542.19,542.725,542.14,2025-04-03 07:19:00,3471
458720.0,542.2716,542.185,541.9997,542.516269,541.94,2025-04-03 07:20:00,4406
449976.0,541.8997,541.98,542.06,542.22,541.6,2025-04-03 07:21:00,5009
236452.0,542.1504,542.1,541.88,542.48,541.85,2025-04-03 07:22:00,3324
173040.0,541.9703,541.895,541.94,542.125,541.8298,2025-04-03 07:23:00,2667
262673.0,541.8484,541.94,541.89,542.15,541.57,2025-04-03 07:24:00,3122
446645.0,542.6893,541.85,543.16,543.22,541.81,2025-04-03 07:25:00,5131
354582.0,550.9409,543.16,542.83,543.39,542.81,2025-04-03 07:26:00,3468
476182.0,548.9386,542.8145,543.15,543.74,542.67,2025-04-03 07:27:00,4522
485618.0,554.4069,543.12,542.74,543.23,542.68,2025-04-03 07:28:00,2858
295864.0,552.4541,542.735,543.07,543.24,542.73,2025-04-03 07:29:00,2522
253283.0,543.3443,543.04,543.33,543.61,542.91,2025-04-03 07:30:00,3643
654711.0,555.8786,543.32,543.3927,543.46,542.99,2025-04-03 07:31:00,3229
238331.0,543.6637,543.39,543.7609,543.9,543.15,2025-04-03 07:32:00,3103
