volume,vwap,open,close,high,low,timestamp,transactions
356781.0,575.719,575.77,575.49,575.95,575.44,2024-10-10 06:30:00,3560
173684.0,575.5054,575.49,575.634907,575.72,575.38,2024-10-10 06:31:00,2002
225445.0,575.7354,575.67,575.81,575.92,575.56,2024-10-10 06:32:00,2325
158464.0,575.6488,575.82,575.62,575.82,575.5,2024-10-10 06:33:00,1564
100942.0,575.6848,575.64,575.75,575.8,575.52,2024-10-10 06:34:00,1191
145460.0,575.5908,575.75,575.46,575.75,575.46,2024-10-10 06:35:00,1628
157816.0,575.4866,575.48,575.345,575.59,575.33,2024-10-10 06:36:00,1764
100626.0,575.3345,575.35,575.29,575.44,575.25,2024-10-10 06:37:00,1376
164285.0,575.1102,575.28,575.145,575.305,574.9301,2024-10-10 06:38:00,1761
120426.0,575.2814,575.2,575.3,575.45,575.09,2024-10-10 06:39:00,1521
97971.0,575.3465,575.32,575.22,575.465,575.11,2024-10-10 06:40:00,1356
74902.0,575.3621,575.25,575.46,575.46,575.2266,2024-10-10 06:41:00,1002
83067.0,575.4487,575.45,575.371,575.53,575.33,2024-10-10 06:42:00,984
41222.0,575.4135,575.38,575.3893,575.475,575.33,2024-10-10 06:43:00,825
131710.0,575.3458,575.38,575.31,575.425,575.27,2024-10-10 06:44:00,1129
93267.0,575.3582,575.31,575.46,575.535,575.22,2024-10-10 06:45:00,1369
142235.0,575.4251,575.46,575.22,575.62,575.16,2024-10-10 06:46:00,1942
146831.0,575.101,575.17,574.88,575.245,574.84,2024-10-10 06:47:00,1720
139800.0,574.8314,574.86,574.67,575.005,574.63,2024-10-10 06:48:00,1513
74421.0,574.6959,574.67,574.7,574.81,574.56,2024-10-10 06:49:00,1599
114682.0,574.8126,574.7,575.0,575.04,574.62,2024-10-10 06:50:00,1526
136869.0,575.033,574.98,574.94,575.18,574.83,2024-10-10 06:51:00,1477
142313.0,575.1974,574.94,575.41,575.45,574.88,2024-10-10 06:52:00,1807
269501.0,575.5874,575.4,575.53,575.73,575.36,2024-10-10 06:53:00,2307
183204.0,575.5841,575.52,575.5,575.67,575.41,2024-10-10 06:54:00,1692
322872.0,575.864,575.49,575.9099,576.05,575.41,2024-10-10 06:55:00,3075
189213.0,576.0459,575.91,576.15,576.23,575.79,2024-10-10 06:56:00,1725
162169.0,576.0924,576.14,575.95,576.3199,575.905,2024-10-10 06:57:00,1937
243078.0,576.0478,575.95,576.0,576.155,575.88,2024-10-10 06:58:00,2413
252561.0,575.6914,575.99,575.39,576.002,575.34,2024-10-10 06:59:00,2324
109045.0,575.705,575.41,575.92,575.98,575.32,2024-10-10 07:00:00,2016
1110313.0,575.4146,575.93,575.83,576.02,575.38,2024-10-10 07:01:00,2734
71327.0,575.7421,575.84,575.5437,575.85,575.53,2024-10-10 07:02:00,1002
59610.0,575.754,575.53,575.95,575.97,575.5,2024-10-10 07:03:00,1177
38756.0,575.9239,575.97,575.87,576.0094,575.83,2024-10-10 07:04:00,886
89277.0,576.083,575.87,576.25,576.26,575.8301,2024-10-10 07:05:00,1156
40176.0,576.027,576.24,575.99,576.26,575.9,2024-10-10 07:06:00,852
53156.0,575.8496,576.0,576.03,576.03,575.67,2024-10-10 07:07:00,898
116358.0,576.1378,576.04,576.17,576.23,575.96,2024-10-10 07:08:00,1411
49210.0,576.1937,576.16,576.21,576.27,576.12,2024-10-10 07:09:00,834
182862.0,576.4369,576.19,576.44,576.52,576.1158,2024-10-10 07:10:00,1737
333487.0,576.5143,576.43,576.55,576.6495,576.4,2024-10-10 07:11:00,2727
91648.0,576.4612,576.5514,576.42,576.62,576.3231,2024-10-10 07:12:00,1263
111716.0,576.2134,576.4299,576.06,576.45,576.01,2024-10-10 07:13:00,1258
60902.0,576.2359,576.07,576.19,576.36,576.05,2024-10-10 07:14:00,932
31375.0,576.2564,576.19,576.28,576.3,576.185,2024-10-10 07:15:00,658
39427.0,576.3171,576.28,576.3101,576.42,576.2115,2024-10-10 07:16:00,1982
33341.0,576.283,576.32,576.25,576.37,576.21,2024-10-10 07:17:00,1957
19623.0,576.3004,576.26,576.34,576.4,576.21,2024-10-10 07:18:00,1680
72497.0,576.1086,576.35,576.05,576.35,576.005,2024-10-10 07:19:00,2327
106015.0,575.9475,576.07,576.01,576.1183,575.78,2024-10-10 07:20:00,2698
30932.0,575.9669,576.01,576.01,576.04,575.88,2024-10-10 07:21:00,1845
45437.0,575.8097,575.995,575.8341,576.04,575.71,2024-10-10 07:22:00,1912
42486.0,575.7888,575.83,575.83,575.86,575.7,2024-10-10 07:23:00,1802
48388.0,575.9307,575.84,576.0352,576.0352,575.79,2024-10-10 07:24:00,1684
44946.0,575.8732,576.03,575.87,576.09,575.76,2024-10-10 07:25:00,1810
43793.0,575.9086,575.88,575.94,576.03,575.83,2024-10-10 07:26:00,1804
37926.0,575.975,575.93,576.1099,576.16,575.85,2024-10-10 07:27:00,2149
32372.0,575.9471,576.09,575.955,576.1,575.85,2024-10-10 07:28:00,2025
23025.0,575.9042,575.95,575.95,575.9699,575.84,2024-10-10 07:29:00,1870
59782.0,576.0297,575.95,576.1,576.1805,575.87,2024-10-10 07:30:00,1853
30080.0,575.9069,576.09,575.86,576.09,575.82,2024-10-10 07:31:00,1804
72101.0,575.7879,575.83,575.82,575.86,575.75,2024-10-10 07:32:00,2191
28923.0,575.794,575.81,575.8001,575.8299,575.75,2024-10-10 07:33:00,2001
74898.0,575.7453,575.77,575.7999,575.8088,575.59,2024-10-10 07:34:00,2439
47189.0,575.8376,575.8,575.8994,575.93,575.7625,2024-10-10 07:35:00,1936
52785.0,575.6241,575.89,575.78,575.89,575.51,2024-10-10 07:36:00,1788
28111.0,575.8125,575.77,575.89,575.95,575.7,2024-10-10 07:37:00,1033
27531.0,575.787,575.89,575.78,575.89,575.72,2024-10-10 07:38:00,602
17122.0,575.8436,575.77,575.83,575.9299,575.77,2024-10-10 07:39:00,527
35559.0,575.7657,575.79,575.66,575.85,575.6559,2024-10-10 07:40:00,608
20467.0,575.6596,575.67,575.59,575.71,575.59,2024-10-10 07:41:00,552
29557.0,575.7521,575.59,575.8599,575.88,575.58,2024-10-10 07:42:00,552
90279.0,576.0558,575.86,576.21,576.24,575.86,2024-10-10 07:43:00,1105
35602.0,576.1269,576.21,576.0,576.23,575.995,2024-10-10 07:44:00,592
30712.0,575.9236,575.9707,575.885,576.03,575.82,2024-10-10 07:45:00,627
29694.0,575.839,575.89,575.83,575.95,575.74,2024-10-10 07:46:00,547
30869.0,575.9505,575.84,576.08,576.09,575.8,2024-10-10 07:47:00,607
35916.0,575.8938,576.08,575.72,576.11,575.72,2024-10-10 07:48:00,604
40329.0,575.759,575.7,575.79,575.87,575.61,2024-10-10 07:49:00,675
30883.0,575.9137,575.8,576.0099,576.05,575.76,2024-10-10 07:50:00,552
37363.0,575.8062,576.01,575.69,576.01,575.66,2024-10-10 07:51:00,626
42815.0,575.6549,575.68,575.55,575.75,575.55,2024-10-10 07:52:00,611
100860.0,575.49,575.54,575.36,575.57,575.36,2024-10-10 07:53:00,967
46778.0,575.412,575.36,575.36,575.52,575.27,2024-10-10 07:54:00,683
39601.0,575.3712,575.36,575.2801,575.43,575.265,2024-10-10 07:55:00,597
80661.0,575.2844,575.28,575.4,575.43,575.13,2024-10-10 07:56:00,982
41293.0,575.5656,575.4,575.53,575.66,575.4,2024-10-10 07:57:00,725
49132.0,575.4641,575.525,575.44,575.6,575.31,2024-10-10 07:58:00,622
33103.0,575.3903,575.43,575.44,575.445,575.29,2024-10-10 07:59:00,495
34163.0,575.4197,575.44,575.34,575.495,575.3287,2024-10-10 08:00:00,550
26121.0,575.3419,575.335,575.34,575.42,575.26,2024-10-10 08:01:00,556
432436.0,577.0194,575.32,575.26,575.34,575.16,2024-10-10 08:02:00,801
952004.0,575.2749,575.26,575.255,575.31,575.14,2024-10-10 08:03:00,832
56572.0,575.426,575.3,575.5,575.53,575.28,2024-10-10 08:04:00,818
34079.0,575.5299,575.48,575.5,575.58,575.48,2024-10-10 08:05:00,636
39552.0,575.5378,575.52,575.63,575.6499,575.4,2024-10-10 08:06:00,600
86679.0,575.7946,575.65,575.8975,575.94,575.65,2024-10-10 08:07:00,986
149826.0,576.0259,575.88,575.99,576.08,575.8775,2024-10-10 08:08:00,1224
54542.0,575.9234,575.98,575.95,576.0699,575.81,2024-10-10 08:09:00,717
35968.0,575.9639,575.935,575.9006,576.05,575.9006,2024-10-10 08:10:00,643
40210.0,576.0773,575.94,576.07,576.14,575.9227,2024-10-10 08:11:00,705
30317.0,576.072,576.08,576.05,576.12,575.985,2024-10-10 08:12:00,491
48148.0,576.0712,576.06,576.08,576.1,576.02,2024-10-10 08:13:00,560
77909.0,576.2551,576.11,576.3499,576.37,576.1,2024-10-10 08:14:00,970
97908.0,576.4551,576.36,576.4907,576.56,576.32,2024-10-10 08:15:00,1142
62943.0,576.368,576.5,576.2999,576.5199,576.24,2024-10-10 08:16:00,684
33846.0,576.3395,576.27,576.4,576.45,576.27,2024-10-10 08:17:00,520
37351.0,576.3062,576.4,576.24,576.41,576.2201,2024-10-10 08:18:00,624
36868.0,576.2619,576.23,576.28,576.31,576.23,2024-10-10 08:19:00,579
283887.0,576.5609,576.29,576.11,576.34,576.11,2024-10-10 08:20:00,678
34499.0,576.154,576.1,576.2301,576.27,576.07,2024-10-10 08:21:00,602
31065.0,576.2278,576.24,576.23,576.3,576.175,2024-10-10 08:22:00,634
23336.0,576.1826,576.2,576.18,576.22,576.1301,2024-10-10 08:23:00,511
37381.0,576.1996,576.2,576.23,576.2399,576.15,2024-10-10 08:24:00,523
26560.0,576.2052,576.23,576.225,576.27,576.11,2024-10-10 08:25:00,506
20926.0,576.2144,576.23,576.24,576.25,576.1801,2024-10-10 08:26:00,443
24254.0,576.2712,576.215,576.27,576.355,576.215,2024-10-10 08:27:00,516
45702.0,576.3466,576.2675,576.42,576.435,576.26,2024-10-10 08:28:00,650
150389.0,577.1185,576.41,576.294,576.42,576.28,2024-10-10 08:29:00,444
53809.0,576.2517,576.29,576.09,576.38,576.08,2024-10-10 08:30:00,795
67424.0,576.0211,576.08,575.95,576.11,575.92,2024-10-10 08:31:00,756
31506.0,576.0149,575.93,576.049,576.09,575.8821,2024-10-10 08:32:00,467
52841.0,576.1801,576.07,576.24,576.27,575.98,2024-10-10 08:33:00,731
27632.0,576.2802,576.23,576.3499,576.3499,576.22,2024-10-10 08:34:00,504
827662.0,576.2518,576.32,576.3,576.3672,576.24,2024-10-10 08:35:00,489
23620.0,576.3102,576.31,576.28,576.36,576.2401,2024-10-10 08:36:00,438
23562.0,576.2487,576.27,576.26,576.3,576.2,2024-10-10 08:37:00,420
20342.0,576.3233,576.28,576.3,576.3799,576.27,2024-10-10 08:38:00,428
33448.0,576.4187,576.32,576.47,576.48,576.2801,2024-10-10 08:39:00,560
45638.0,576.3514,576.45,576.26,576.48,576.23,2024-10-10 08:40:00,660
52320.0,576.2195,576.26,576.16,576.31,576.11,2024-10-10 08:41:00,586
44025.0,576.2406,576.17,576.48,576.49,576.06,2024-10-10 08:42:00,682
32152.0,576.441,576.47,576.41,576.48,576.41,2024-10-10 08:43:00,428
36342.0,576.4361,576.43,576.43,576.47,576.4,2024-10-10 08:44:00,486
29693.0,576.407,576.43,576.395,576.45,576.3501,2024-10-10 08:45:00,448
48314.0,576.4457,576.39,576.48,576.5,576.39,2024-10-10 08:46:00,566
28379.0,576.5226,576.5,576.52,576.57,576.46,2024-10-10 08:47:00,491
29837.0,576.485,576.53,576.46,576.56,576.45,2024-10-10 08:48:00,435
152623.0,577.1257,576.435,576.45,576.48,576.42,2024-10-10 08:49:00,369
286341.0,576.3732,576.45,576.4,576.48,576.385,2024-10-10 08:50:00,443
35737.0,576.3571,576.39,576.39,576.42,576.31,2024-10-10 08:51:00,529
26093.0,576.4341,576.405,576.4501,576.46,576.39,2024-10-10 08:52:00,420
20708.0,576.4588,576.45,576.49,576.51,576.405,2024-10-10 08:53:00,449
37936.0,576.5046,576.48,576.59,576.59,576.45,2024-10-10 08:54:00,488
53653.0,576.6773,576.59,576.66,576.73,576.59,2024-10-10 08:55:00,788
38384.0,576.6161,576.68,576.67,576.69,576.55,2024-10-10 08:56:00,584
54995.0,576.7467,576.67,576.76,576.79,576.6501,2024-10-10 08:57:00,678
48401.0,576.8613,576.76,576.9,576.9412,576.75,2024-10-10 08:58:00,726
57095.0,576.9523,576.9,576.96,577.0,576.89,2024-10-10 08:59:00,673
148718.0,577.0188,576.952,577.074,577.09,576.86,2024-10-10 09:00:00,1384
126816.0,577.0338,577.07,577.055,577.09,576.99,2024-10-10 09:01:00,636
173076.0,577.1918,577.04,576.885,577.09,576.885,2024-10-10 09:02:00,575
35746.0,576.9515,576.88,576.9801,577.01,576.8689,2024-10-10 09:03:00,518
21194.0,576.9293,577.0,576.9299,577.0,576.89,2024-10-10 09:04:00,423
35121.0,577.0196,576.92,577.1105,577.12,576.92,2024-10-10 09:05:00,609
28145.0,577.1026,577.1,577.14,577.15,577.04,2024-10-10 09:06:00,515
73511.0,577.1812,577.1411,577.13,577.26,577.11,2024-10-10 09:07:00,732
42552.0,577.0942,577.15,577.13,577.18,577.01,2024-10-10 09:08:00,670
31151.0,577.1137,577.1,577.14,577.15,577.085,2024-10-10 09:09:00,360
53089.0,577.234,577.14,577.25,577.3,577.13,2024-10-10 09:10:00,659
67313.0,577.3712,577.25,577.45,577.47,577.22,2024-10-10 09:11:00,752
63081.0,577.4251,577.46,577.42,577.49,577.35,2024-10-10 09:12:00,747
54763.0,577.3695,577.44,577.28,577.45,577.28,2024-10-10 09:13:00,688
55639.0,577.3197,577.28,577.38,577.39,577.26,2024-10-10 09:14:00,602
55568.0,577.4082,577.38,577.47,577.48,577.36,2024-10-10 09:15:00,617
48534.0,577.485,577.47,577.51,577.53,577.41,2024-10-10 09:16:00,744
32284.0,577.5263,577.5298,577.52,577.58,577.49,2024-10-10 09:17:00,530
44306.0,577.4842,577.52,577.42,577.56,577.4,2024-10-10 09:18:00,509
22161.0,577.4697,577.44,577.495,577.51,577.42,2024-10-10 09:19:00,353
48222.0,577.494,577.5,577.51,577.52,577.465,2024-10-10 09:20:00,508
54898.0,577.4997,577.52,577.53,577.545,577.46,2024-10-10 09:21:00,474
53441.0,577.4838,577.51,577.47,577.52,577.445,2024-10-10 09:22:00,587
58035.0,577.4407,577.48,577.4,577.495,577.39,2024-10-10 09:23:00,647
46141.0,577.361,577.4,577.345,577.43,577.3201,2024-10-10 09:24:00,568
119073.0,577.316,577.36,577.285,577.3917,577.285,2024-10-10 09:25:00,811
161120.0,577.1376,577.285,577.1305,577.29,576.89,2024-10-10 09:26:00,1314
