volume,vwap,open,close,high,low,timestamp,transactions
1116693.0,582.1961,582.58,581.8,582.71,581.77,2024-10-28 06:30:00,11215
174143.0,581.8729,581.78,581.87,582.14,581.6807,2024-10-28 06:31:00,1692
165018.0,582.2913,581.85,582.4,582.49,581.835,2024-10-28 06:32:00,1701
176734.0,582.4145,582.405,582.36,582.53,582.21,2024-10-28 06:33:00,1941
153730.0,582.3142,582.37,582.21,582.47,582.15,2024-10-28 06:34:00,1617
156514.0,582.2164,582.24,582.2501,582.35,582.0801,2024-10-28 06:35:00,1801
137348.0,582.2132,582.28,582.205,582.35,582.07,2024-10-28 06:36:00,1622
173956.0,582.0148,582.19,581.88,582.24,581.83,2024-10-28 06:37:00,2180
108674.0,581.7952,581.86,581.76,581.89,581.7,2024-10-28 06:38:00,1326
83795.0,581.8259,581.77,581.87,581.94,581.735,2024-10-28 06:39:00,994
101397.0,581.8214,581.85,581.88,581.89,581.74,2024-10-28 06:40:00,1340
104622.0,581.7015,581.86,581.72,581.9,581.5617,2024-10-28 06:41:00,1333
74335.0,581.7138,581.75,581.7,581.8,581.59,2024-10-28 06:42:00,1162
81389.0,581.8404,581.6837,581.79,581.93,581.6837,2024-10-28 06:43:00,1302
56758.0,581.7978,581.82,581.65,581.87,581.65,2024-10-28 06:44:00,892
104858.0,581.6585,581.65,581.63,581.77,581.57,2024-10-28 06:45:00,1271
41015.0,581.7271,581.6402,581.8099,581.8099,581.6402,2024-10-28 06:46:00,835
41237.0,581.7892,581.785,581.9301,581.9301,581.69,2024-10-28 06:47:00,788
126042.0,581.8214,581.92,581.7,582.0,581.63,2024-10-28 06:48:00,1443
106612.0,581.6917,581.7,581.83,581.84,581.45,2024-10-28 06:49:00,1446
105668.0,581.665,581.8201,581.56,581.8493,581.48,2024-10-28 06:50:00,1527
85542.0,581.4779,581.56,581.47,581.56,581.3901,2024-10-28 06:51:00,1097
45397.0,581.4667,581.51,581.49,581.52,581.37,2024-10-28 06:52:00,849
64267.0,581.5017,581.48,581.64,581.64,581.44,2024-10-28 06:53:00,829
45502.0,581.5866,581.65,581.5609,581.69,581.4608,2024-10-28 06:54:00,788
46117.0,581.6602,581.5699,581.76,581.79,581.445,2024-10-28 06:55:00,801
46023.0,581.5888,581.8,581.4,581.83,581.4,2024-10-28 06:56:00,915
62489.0,581.5607,581.39,581.69,581.7,581.35,2024-10-28 06:57:00,926
70806.0,581.7419,581.7,581.745,581.81,581.68,2024-10-28 06:58:00,1013
76218.0,581.5504,581.75,581.49,581.76,581.42,2024-10-28 06:59:00,1143
77966.0,581.5971,581.515,581.655,581.69,581.495,2024-10-28 07:00:00,1109
44876.0,581.6314,581.62,581.64,581.71,581.55,2024-10-28 07:01:00,850
72530.0,581.5235,581.61,581.57,581.63,581.4257,2024-10-28 07:02:00,970
50464.0,581.5061,581.55,581.495,581.59,581.43,2024-10-28 07:03:00,838
71228.0,581.4122,581.49,581.54,581.56,581.24,2024-10-28 07:04:00,1247
57008.0,581.4975,581.54,581.38,581.58,581.375,2024-10-28 07:05:00,1025
39262.0,581.5564,581.3701,581.656,581.656,581.3701,2024-10-28 07:06:00,823
62217.0,581.5998,581.66,581.5,581.66,581.5,2024-10-28 07:07:00,897
49283.0,581.6644,581.48,581.7855,581.7855,581.48,2024-10-28 07:08:00,907
86408.0,581.8938,581.79,581.89,581.99,581.77,2024-10-28 07:09:00,1398
122618.0,581.8829,581.8901,581.79,582.0,581.74,2024-10-28 07:10:00,1738
59979.0,581.7933,581.79,581.855,581.87,581.67,2024-10-28 07:11:00,1016
44802.0,581.8328,581.86,581.88,581.88,581.77,2024-10-28 07:12:00,788
66904.0,581.9146,581.8859,581.91,581.96,581.86,2024-10-28 07:13:00,877
53454.0,581.8122,581.93,581.85,581.93,581.7411,2024-10-28 07:14:00,1661
76412.0,581.9095,581.86,581.85,581.9899,581.84,2024-10-28 07:15:00,3147
64278.0,581.8357,581.85,581.82,581.89,581.73,2024-10-28 07:16:00,3069
232320.0,581.7278,581.82,581.7,581.84,581.65,2024-10-28 07:17:00,5206
88285.0,581.7234,581.69,581.77,581.78,581.63,2024-10-28 07:18:00,5510
78639.0,581.7963,581.7899,581.85,581.85,581.72,2024-10-28 07:19:00,4752
71827.0,581.8443,581.86,581.87,581.92,581.74,2024-10-28 07:20:00,3058
33304.0,581.8942,581.89,581.88,581.9299,581.81,2024-10-28 07:21:00,2975
29302.0,581.9042,581.87,581.96,581.99,581.81,2024-10-28 07:22:00,2380
127365.0,582.0061,581.965,582.095,582.1,581.87,2024-10-28 07:23:00,3415
110397.0,582.0683,582.09,582.02,582.19,581.9,2024-10-28 07:24:00,2950
53022.0,582.0173,582.02,582.1086,582.1086,581.9,2024-10-28 07:25:00,3803
76725.0,582.2405,582.1,582.37,582.38,582.0802,2024-10-28 07:26:00,2819
90890.0,582.4361,582.395,582.41,582.49,582.36,2024-10-28 07:27:00,2553
55392.0,582.3623,582.41,582.38,582.43,582.2806,2024-10-28 07:28:00,2301
63202.0,582.3798,582.395,582.41,582.43,582.3501,2024-10-28 07:29:00,2628
50210.0,582.3981,582.4,582.46,582.47,582.32,2024-10-28 07:30:00,2606
38553.0,582.4053,582.455,582.25,582.5,582.25,2024-10-28 07:31:00,2424
127211.0,582.0871,582.24,582.15,582.24,581.91,2024-10-28 07:32:00,3386
27707.0,582.0343,582.15,581.9309,582.15,581.93,2024-10-28 07:33:00,2038
49437.0,581.8865,581.93,581.85,581.9599,581.7901,2024-10-28 07:34:00,1290
57304.0,581.8846,581.87,582.02,582.02,581.77,2024-10-28 07:35:00,994
30471.0,581.9508,582.03,582.0,582.04,581.895,2024-10-28 07:36:00,773
39514.0,581.9733,581.98,582.07,582.08,581.86,2024-10-28 07:37:00,709
34032.0,581.9399,582.09,581.87,582.1199,581.83,2024-10-28 07:38:00,813
40461.0,581.9715,581.8701,582.04,582.0599,581.8701,2024-10-28 07:39:00,698
41774.0,582.082,582.03,582.13,582.13,582.02,2024-10-28 07:40:00,828
50909.0,582.1285,582.11,582.12,582.22,582.06,2024-10-28 07:41:00,714
25819.0,582.2301,582.1234,582.3,582.33,582.1,2024-10-28 07:42:00,634
22979.0,582.1853,582.3099,582.16,582.31,582.12,2024-10-28 07:43:00,503
25352.0,582.1879,582.16,582.235,582.25,582.1312,2024-10-28 07:44:00,513
35386.0,582.3622,582.25,582.4,582.41,582.25,2024-10-28 07:45:00,798
61654.0,582.2644,582.4,582.17,582.425,582.13,2024-10-28 07:46:00,778
31225.0,582.206,582.17,582.3,582.33,582.1021,2024-10-28 07:47:00,558
28740.0,582.2643,582.3,582.21,582.3599,582.19,2024-10-28 07:48:00,618
30714.0,582.2729,582.19,582.3,582.3499,582.18,2024-10-28 07:49:00,506
37060.0,582.2389,582.32,582.22,582.35,582.155,2024-10-28 07:50:00,567
47053.0,582.2107,582.23,582.21,582.27,582.13,2024-10-28 07:51:00,705
49406.0,582.2918,582.22,582.325,582.385,582.2,2024-10-28 07:52:00,642
37796.0,582.35,582.33,582.4,582.4,582.29,2024-10-28 07:53:00,620
20330.0,582.3412,582.4,582.29,582.42,582.2481,2024-10-28 07:54:00,542
100823.0,582.3424,582.29,582.21,582.3,582.2001,2024-10-28 07:55:00,557
64133.0,582.1415,582.2,582.22,582.23,582.035,2024-10-28 07:56:00,920
37445.0,582.1964,582.225,582.14,582.24,582.135,2024-10-28 07:57:00,610
51064.0,582.0422,582.1498,581.92,582.15,581.89,2024-10-28 07:58:00,757
44056.0,581.9792,581.94,581.9201,582.08,581.88,2024-10-28 07:59:00,664
173239.0,581.6785,581.96,581.45,581.98,581.42,2024-10-28 08:00:00,2084
91387.0,581.556,581.46,581.52,581.7299,581.41,2024-10-28 08:01:00,1149
52444.0,581.5217,581.53,581.49,581.63,581.41,2024-10-28 08:02:00,809
86106.0,581.3448,581.46,581.51,581.51,581.23,2024-10-28 08:03:00,1045
51687.0,581.6217,581.51,581.7,581.7,581.49,2024-10-28 08:04:00,736
26414.0,581.6535,581.71,581.63,581.72,581.61,2024-10-28 08:05:00,490
60346.0,581.6259,581.67,581.7926,581.8,581.27,2024-10-28 08:06:00,652
28277.0,581.8018,581.78,581.71,581.91,581.6933,2024-10-28 08:07:00,564
43268.0,581.657,581.72,581.51,581.83,581.495,2024-10-28 08:08:00,807
58907.0,581.5405,581.5057,581.57,581.6,581.46,2024-10-28 08:09:00,708
53143.0,581.6891,581.58,581.7617,581.7896,581.58,2024-10-28 08:10:00,666
43685.0,581.7752,581.7599,581.78,581.82,581.72,2024-10-28 08:11:00,600
21942.0,581.8252,581.81,581.8299,581.875,581.79,2024-10-28 08:12:00,457
45871.0,581.947,581.83,582.0,582.05,581.83,2024-10-28 08:13:00,656
25584.0,581.9564,581.99,581.93,582.04,581.905,2024-10-28 08:14:00,494
29570.0,581.8698,581.92,581.95,581.97,581.79,2024-10-28 08:15:00,549
104055.0,582.2371,581.97,581.72,581.985,581.72,2024-10-28 08:16:00,539
24081.0,581.7209,581.72,581.745,581.78,581.67,2024-10-28 08:17:00,471
36802.0,581.7478,581.76,581.6738,581.85,581.67,2024-10-28 08:18:00,652
25626.0,581.6527,581.68,581.63,581.7,581.6,2024-10-28 08:19:00,533
40802.0,581.5437,581.61,581.6,581.61,581.47,2024-10-28 08:20:00,773
47913.0,581.6693,581.59,581.73,581.73,581.58,2024-10-28 08:21:00,719
29580.0,581.6888,581.715,581.61,581.79,581.595,2024-10-28 08:22:00,537
28642.0,581.6594,581.61,581.59,581.73,581.59,2024-10-28 08:23:00,459
23552.0,581.6017,581.58,581.53,581.65,581.5201,2024-10-28 08:24:00,461
